Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
1,CCAFS,Dragon Spacecraft Qualification Unit,0,LEO,SpaceX,"Success
",,Failure,4 June 2010,18:45
1,CCAFS,Dragon,0,LEO,NASA,Success,,Failure,4 June 2010,18:45
1,CCAFS,Dragon,525 kg,LEO,NASA,Success,,"No attempt
",4 June 2010,15:43
2,CCAFS,SpaceX CRS-1,"4,700 kg",LEO,NASA,"Success
",,No attempt,8 December 2010,07:44
3,CCAFS,SpaceX CRS-2,"4,877 kg",LEO,NASA,"Success
",,"No attempt
",22 May 2012,00:35
4,VAFB,CASSIOPE,500 kg,Polar orbit,MDA,Success,,Uncontrolled,8 October 2012,15:10
5,CCAFS,SES-8,"3,170 kg",GTO,SES,Success,,No attempt,1 March 2013,16:00
6,CCAFS,Thaicom 6,"3,325 kg",GTO,Thaicom,Success,,No attempt,29 September 2013,22:41
7,Cape Canaveral,SpaceX CRS-3,"2,296 kg",LEO,NASA,"Success
",,Controlled,3 December 2013,22:06
8,Cape Canaveral,Orbcomm-OG2,"1,316 kg",LEO,Orbcomm,Success,,Controlled,6 January 2014,19:25
9,Cape Canaveral,AsiaSat 8,"4,535 kg",GTO,AsiaSat,Success,,No attempt,18 April 2014,15:15
10,Cape Canaveral,AsiaSat 6,"4,428 kg",GTO,AsiaSat,Success,,"No attempt
",14 July 2014,08:00
11,Cape Canaveral,SpaceX CRS-4,"2,216 kg",LEO,NASA,Success,,Uncontrolled,5 August 2014,05:00
12,Cape Canaveral,SpaceX CRS-5,"2,395 kg",LEO,NASA,Success,,Failure ,7 September 2014,05:52
13,Cape Canaveral,DSCOVR,570 kg,HEO,USAF,"Success
",,Controlled,21 September 2014,09:47
14,Cape Canaveral,ABS-3A,"4,159 kg",GTO,ABS,"Success
",,No attempt,10 January 2015,23:03
15,Cape Canaveral,SpaceX CRS-6,"1,898 kg",LEO,NASA,"Success
",,Failure,11 February 2015,03:50
16,Cape Canaveral,TürkmenÄlem 52°E / MonacoSAT,"4,707 kg",GTO,,"Success
",,No attempt,2 March 2015,20:10
17,Cape Canaveral,SpaceX CRS-7,"1,952 kg",LEO,NASA,Failure,,Precluded,14 April 2015,23:03
18,Cape Canaveral,Orbcomm-OG2,"2,034 kg",LEO,Orbcomm,"Success
",,Success,27 April 2015,14:21
19,VAFB,Jason-3,553 kg,LEO,NASA,"Success
",,Failure,28 June 2015,01:29
20,Cape Canaveral,SES-9,"5,271 kg",GTO,SES,"Success
",,Failure,22 December 2015,18:42
21,Cape Canaveral,SpaceX CRS-8,"3,136 kg",LEO,NASA,Success,,Success,17 January 2016,23:35
22,Cape Canaveral,JCSAT-14,"4,696 kg",GTO,SKY Perfect JSAT Group,"Success
",,Success,4 March 2016,20:43
23,Cape Canaveral,Thaicom 8,"3,100 kg",GTO,Thaicom,"Success
",,Success,8 April 2016,05:21
24,Cape Canaveral,ABS-2A,"3,600 kg",GTO,ABS,"Success
",,Failure,6 May 2016,21:39
25,Cape Canaveral,SpaceX CRS-9,"2,257 kg",LEO,NASA,"Success
",,Success,27 May 2016,14:29
26,Cape Canaveral,JCSAT-16,"4,600 kg",GTO,SKY Perfect JSAT Group,"Success
",,Success,15 June 2016,04:45
27,VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,"Success
",,Success,18 July 2016,05:26
28,KSC,SpaceX CRS-10,"2,490 kg",LEO,NASA,"Success
",,Success,14 August 2016,17:54
29,KSC,EchoStar 23,"5,600 kg",GTO,EchoStar,"Success
",,No attempt,14 January 2017,14:39
30,KSC,SES-10,"5,300 kg",GTO,SES,Success,,Success,19 February 2017,06:00
31,KSC,NROL-76,C,LEO,NRO,"Success
",,Success,16 March 2017,22:27
32,KSC,Inmarsat-5 F4,"6,070 kg",GTO,Inmarsat,"Success
",,No attempt,30 March 2017,11:15
33,KSC,SpaceX CRS-11,"2,708 kg",LEO,NASA,"Success
",,Success,1 May 2017,23:21
34,KSC,BulgariaSat-1,"3,669 kg",GTO,Bulsatcom,"Success
",,Success,15 May 2017,21:07
35,VAFB,Iridium NEXT,"9,600 kg",LEO,Iridium Communications,"Success
",,Success,3 June 2017,19:10
36,KSC,Intelsat 35e,"6,761 kg",GTO,Intelsat,"Success
",,No attempt,23 June 2017,20:25
37,KSC,SpaceX CRS-12,"3,310 kg",LEO,NASA,"Success
",,Success,25 June 2017,23:38
38,VAFB,Formosat-5,475 kg,SSO,NSPO,"Success
",,Success,5 July 2017,16:31
39,KSC,Boeing X-37B,"4,990 kg",LEO,USAF,"Success
",,Success,14 August 2017,18:51
40,VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,"Success
",,Success,24 August 2017,14:00
41,KSC,SES-11,"5,200 kg",GTO,SES S.A.,"Success
",,Success,7 September 2017,12:37
42,KSC,Koreasat 5A,"3,500 kg",GTO,KT Corporation,"Success
",,Success,9 October 2017,22:53:00
43,Cape Canaveral,SpaceX CRS-13,"2,205 kg",LEO,NASA,"Success
",,Success,11 October 2017,19:34
44,VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,Success,,Controlled,30 October 2017,15:36
45,CCAFS,Zuma,C,LEO,Northrop Grumman,Success,,Success,15 December 2017,01:27
46,CCAFS,GovSat-1,"4,230 kg",GTO,SES,Success,,Controlled,23 December 2017,01:00
47,VAFB,Paz,"2,150 kg",SSO,Hisdesat,Success,,No attempt,8 January 2018,21:25
48,CCAFS,Hispasat 30W-6,"6,092 kg",GTO,Hispasat,Success,,No attempt,31 January 2018,14:17
49,VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,Success,,No attempt,22 February 2018,05:33
50,CCAFS,SpaceX CRS-14,"2,647 kg",LEO,NASA,Success,,No attempt,6 March 2018,14:14
51,CCAFS,Transiting Exoplanet Survey Satellite,362 kg,HEO,NASA,Success,,Success,30 March 2018,20:30
52,KSC,Bangabandhu-1,"3,600 kg",GTO,Thales-Alenia,Success,,Success,2 April 2018,22:51
53,VAFB,Iridium NEXT,"6,460 kg",Polar,Iridium Communications,Success,,No attempt,18 April 2018,20:14
54,CCAFS,SES-12,"5,384 kg",GTO,SES,Success,,No attempt,11 May 2018,19:47
55,CCAFS,SpaceX CRS-15,"2,697 kg",LEO,NASA,Success,,No attempt,22 May 2018,04:45
56,CCAFS,Telstar 19V,"7,075 kg",GTO,Telesat,Success,,Success,4 June 2018,09:42
57,VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,Success,,Success,29 June 2018,05:50
58,CCAFS,Merah Putih,"5,800 kg",GTO,Telkom Indonesia,Success,,Success,22 July 2018,11:39
59,CCAFS,Telstar 18V,"7,060 kg",GTO,Telesat,Success,,Success,25 July 2018,05:18
60,VAFB,SAOCOM 1A,"3,000 kg",SSO,CONAE,Success,,Success,7 August 2018,04:45
61,KSC,Es'hail 2,"5,300 kg",GTO,Es'hailSat,Success,,Success,10 September 2018,02:22
62,VAFB,SSO-A,"~4,000 kg",SSO,Spaceflight Industries,Success,,Success,8 October 2018,20:46
63,CCAFS,SpaceX CRS-16,"2,500 kg",LEO,NASA,"Success
",,Failure,15 November 2018,18:34:05
64,CCAFS,GPS III,"4,400 kg",MEO,USAF,Success,,No attempt,3 December 2018,18:16
65,VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,"Success
",,Success,5 December 2018,13:51
66,CCAFS,Nusantara Satu,"4,850 kg",GTO,PSN,"Success
",,Success,23 December 2018,15:31
67,KSC,Crew Dragon Demo-1,"12,055 kg",LEO,NASA,"Success
",,Success,11 January 2019,01:45
68,CCAFS,SpaceX CRS-17,"2,495 kg",LEO,NASA,"Success
",,Success,22 February 2019,07:49
69,CCAFS,Starlink,"13,620 kg",LEO,SpaceX,"Success
",,Success,2 March 2019,06:48
70,VAFB,RADARSAT Constellation,"4,200 kg",SSO,Canadian Space Agency,"Success
",,Success,4 May 2019,02:30
71,CCAFS,SpaceX CRS-18,"2,268 kg",LEO,NASA,"Success
",,Success,24 May 2019,14:17
72,CCAFS,AMOS-17,"6,500 kg",GTO,Spacecom,"Success
",,No attempt,12 June 2019,22:01
73,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Success,25 July 2019,23:23
74,CCAFS,SpaceX CRS-19,"2,617 kg",LEO,NASA,"Success
",,Success,6 August 2019,14:56
75,CCAFS,JCSat-18,"6,956 kg",GTO,Sky Perfect JSAT,"Success
",,Success,11 November 2019,17:29
76,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Success,5 December 2019,00:10
77,KSC,Crew Dragon in-flight abort test,"12,050 kg",Sub-orbital,NASA,"Success
",,"No attempt
",17 December 2019,02:19:21
78,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Success,7 January 2020,15:30
79,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Failure,19 January 2020,14:07
80,CCAFS,SpaceX CRS-20,"1,977 kg",LEO,NASA,"Success
",,Success,29 January 2020,15:05
81,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Failure,17 February 2020,04:50
82,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Success,7 March 2020,12:16
83,KSC,Crew Dragon Demo-2,"12,530 kg",LEO,NASA,"Success
",,Success,18 March 2020,19:30
84,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Success,22 April 2020,19:22
85,CCAFS,Starlink,"15,410 kg",LEO,SpaceX,"Success
",,Success,30 May 2020,01:25
86,CCAFS,GPS III,"4,311 kg",MEO,U.S. Space Force,"Success
",,Success,4 June 2020,09:21
87,CCAFS,ANASIS-II,"5,000–6,000 kg",GTO,Republic of Korea Army,"Success
",,Success,13 June 2020,20:10:46
88,KSC,Starlink,"14,932 kg",LEO,SpaceX,"Success
",,Success,30 June 2020,21:30
89,CCAFS,Starlink,"~15,440 kg",LEO,SpaceX,"Success
",,Success,20 July 2020,05:12
90,CCAFS,SAOCOM 1B,"3,130 kg",SSO,CONAE,"Success
",,Success,7 August 2020,14:31
91,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Success,18 August 2020,23:18
92,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Success,30 August 2020,12:46:14
93,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Success,3 September 2020,11:29:34
94,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Success,6 October 2020,12:25:57
95,CCAFS,GPS III,"4,311 kg",MEO,USSF,"Success
",,Success,18 October 2020,15:31:34
96,KSC,Crew-1,"~12,500 kg",LEO,NASA,"Success
",,Success,24 October 2020,23:24:23
97,VAFB,Sentinel-6 Michael Freilich (Jason-CS A),"1,192 kg",LEO,NASA,"Success
",,Success,5 November 2020,00:27
98,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Success,16 November 2020,17:17:08
99,KSC,SpaceX CRS-21,"2,972 kg",LEO,NASA,"Success
",,Success,21 November 2020,02:13
100,CCSFS,SXM-7,"7,000 kg",GTO,Sirius XM,"Success
",,Success,25 November 2020,16:17:08
101,KSC,NROL-108,C,LEO,NRO,"Success
",,Success,6 December 2020,17:30:00
102,CCSFS,Türksat 5A,"3,500 kg",GTO,Türksat,"Success
",,Success,13 December 2020,14:00:00
103,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Success,19 December 2020,02:15
104,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,"Success
",,Failure,8 January 2021,13:02
105,CCAFS,Dragon Spacecraft Qualification Unit,0,LEO,NASA,Success,,Failure,20 January 2021,15:00
106,CCAFS,Dragon,0,LEO,NASA,Success,,"No attempt
",24 January 2021,18:45
1,CCAFS,Dragon,525 kg,LEO,NASA,"Success
",,No attempt,4 June 2010,15:43
2,CCAFS,SpaceX CRS-1,"4,700 kg",LEO,NASA,"Success
",,"No attempt
",8 December 2010,07:44
3,CCAFS,SpaceX CRS-2,"4,877 kg",LEO,MDA,Success,,Uncontrolled,22 May 2012,00:35
4,VAFB,CASSIOPE,500 kg,Polar orbit,SES,Success,,No attempt,8 October 2012,15:10
5,CCAFS,SES-8,"3,170 kg",GTO,Thaicom,Success,,No attempt,1 March 2013,16:00
6,CCAFS,Thaicom 6,"3,325 kg",GTO,NASA,"Success
",,Controlled,29 September 2013,22:41
7,Cape Canaveral,SpaceX CRS-3,"2,296 kg",LEO,Orbcomm,Success,,Controlled,3 December 2013,22:06
8,Cape Canaveral,Orbcomm-OG2,"1,316 kg",LEO,AsiaSat,Success,,No attempt,6 January 2014,19:25
9,Cape Canaveral,AsiaSat 8,"4,535 kg",GTO,AsiaSat,Success,,"No attempt
",18 April 2014,15:15
10,Cape Canaveral,AsiaSat 6,"4,428 kg",GTO,NASA,Success,,Uncontrolled,14 July 2014,08:00
11,Cape Canaveral,SpaceX CRS-4,"2,216 kg",LEO,NASA,Success,,Failure ,5 August 2014,05:00
12,Cape Canaveral,SpaceX CRS-5,"2,395 kg",LEO,USAF,"Success
",,Controlled,7 September 2014,05:52
13,Cape Canaveral,DSCOVR,570 kg,HEO,ABS,"Success
",,No attempt,21 September 2014,09:47
14,Cape Canaveral,ABS-3A,"4,159 kg",GTO,NASA,"Success
",,Failure,10 January 2015,23:03
15,Cape Canaveral,SpaceX CRS-6,"1,898 kg",LEO,,"Success
",,No attempt,11 February 2015,03:50
16,Cape Canaveral,TürkmenÄlem 52°E / MonacoSAT,"4,707 kg",GTO,NASA,Failure,,Precluded,2 March 2015,20:10
17,Cape Canaveral,SpaceX CRS-7,"1,952 kg",LEO,Orbcomm,"Success
",,Success,14 April 2015,23:03
18,Cape Canaveral,Orbcomm-OG2,"2,034 kg",LEO,NASA,"Success
",,Failure,27 April 2015,14:21
19,VAFB,Jason-3,553 kg,LEO,SES,"Success
",,Failure,28 June 2015,01:29
20,Cape Canaveral,SES-9,"5,271 kg",GTO,NASA,Success,,Success,22 December 2015,18:42
21,Cape Canaveral,SpaceX CRS-8,"3,136 kg",LEO,SKY Perfect JSAT Group,"Success
",,Success,17 January 2016,23:35
22,Cape Canaveral,JCSAT-14,"4,696 kg",GTO,Thaicom,"Success
",,Success,4 March 2016,20:43
23,Cape Canaveral,Thaicom 8,"3,100 kg",GTO,ABS,"Success
",,Failure,8 April 2016,05:21
24,Cape Canaveral,ABS-2A,"3,600 kg",GTO,NASA,"Success
",,Success,6 May 2016,21:39
25,Cape Canaveral,SpaceX CRS-9,"2,257 kg",LEO,SKY Perfect JSAT Group,"Success
",,Success,27 May 2016,14:29
26,Cape Canaveral,JCSAT-16,"4,600 kg",GTO,Iridium Communications,"Success
",,Success,15 June 2016,04:45
27,VAFB,Iridium NEXT,"9,600 kg",Polar,NASA,"Success
",,Success,18 July 2016,05:26
28,KSC,SpaceX CRS-10,"2,490 kg",LEO,EchoStar,"Success
",,No attempt,14 August 2016,17:54
29,KSC,EchoStar 23,"5,600 kg",GTO,SES,Success,,Success,14 January 2017,14:39
30,KSC,SES-10,"5,300 kg",GTO,NRO,"Success
",,Success,19 February 2017,06:00
31,KSC,NROL-76,C,LEO,Inmarsat,"Success
",,No attempt,16 March 2017,22:27
32,KSC,Inmarsat-5 F4,"6,070 kg",GTO,NASA,"Success
",,Success,30 March 2017,11:15
33,KSC,SpaceX CRS-11,"2,708 kg",LEO,Bulsatcom,"Success
",,Success,1 May 2017,23:21
34,KSC,BulgariaSat-1,"3,669 kg",GTO,Iridium Communications,"Success
",,Success,15 May 2017,21:07
35,VAFB,Iridium NEXT,"9,600 kg",LEO,Intelsat,"Success
",,No attempt,3 June 2017,19:10
36,KSC,Intelsat 35e,"6,761 kg",GTO,NASA,"Success
",,Success,23 June 2017,20:25
37,KSC,SpaceX CRS-12,"3,310 kg",LEO,NSPO,"Success
",,Success,25 June 2017,23:38
38,VAFB,Formosat-5,475 kg,SSO,USAF,"Success
",,Success,5 July 2017,16:31
39,KSC,Boeing X-37B,"4,990 kg",LEO,Iridium Communications,"Success
",,Success,14 August 2017,18:51
40,VAFB,Iridium NEXT,"9,600 kg",Polar,SES S.A.,"Success
",,Success,24 August 2017,14:00
41,KSC,SES-11,"5,200 kg",GTO,KT Corporation,"Success
",,Success,7 September 2017,12:37
42,KSC,Koreasat 5A,"3,500 kg",GTO,NASA,"Success
",,Success,9 October 2017,22:53:00
43,Cape Canaveral,SpaceX CRS-13,"2,205 kg",LEO,Iridium Communications,Success,,Controlled,11 October 2017,19:34
44,VAFB,Iridium NEXT,"9,600 kg",Polar,Northrop Grumman,Success,,Success,30 October 2017,15:36
45,CCAFS,Zuma,C,LEO,SES,Success,,Controlled,15 December 2017,01:27
46,CCAFS,GovSat-1,"4,230 kg",GTO,Hisdesat,Success,,No attempt,23 December 2017,01:00
47,VAFB,Paz,"2,150 kg",SSO,Hispasat,Success,,No attempt,8 January 2018,21:25
48,CCAFS,Hispasat 30W-6,"6,092 kg",GTO,Iridium Communications,Success,,No attempt,31 January 2018,14:17
49,VAFB,Iridium NEXT,"9,600 kg",Polar,NASA,Success,,No attempt,22 February 2018,05:33
50,CCAFS,SpaceX CRS-14,"2,647 kg",LEO,NASA,Success,,Success,6 March 2018,14:14
51,CCAFS,Transiting Exoplanet Survey Satellite,362 kg,HEO,Thales-Alenia,Success,,Success,30 March 2018,20:30
52,KSC,Bangabandhu-1,"3,600 kg",GTO,Iridium Communications,Success,,No attempt,2 April 2018,22:51
53,VAFB,Iridium NEXT,"6,460 kg",Polar,SES,Success,,No attempt,18 April 2018,20:14
54,CCAFS,SES-12,"5,384 kg",GTO,NASA,Success,,No attempt,11 May 2018,19:47
55,CCAFS,SpaceX CRS-15,"2,697 kg",LEO,Telesat,Success,,Success,22 May 2018,04:45
56,CCAFS,Telstar 19V,"7,075 kg",GTO,Iridium Communications,Success,,Success,4 June 2018,09:42
57,VAFB,Iridium NEXT,"9,600 kg",Polar,Telkom Indonesia,Success,,Success,29 June 2018,05:50
58,CCAFS,Merah Putih,"5,800 kg",GTO,Telesat,Success,,Success,22 July 2018,11:39
59,CCAFS,Telstar 18V,"7,060 kg",GTO,CONAE,Success,,Success,25 July 2018,05:18
60,VAFB,SAOCOM 1A,"3,000 kg",SSO,Es'hailSat,Success,,Success,7 August 2018,04:45
61,KSC,Es'hail 2,"5,300 kg",GTO,Spaceflight Industries,Success,,Success,10 September 2018,02:22
62,VAFB,SSO-A,"~4,000 kg",SSO,NASA,"Success
",,Failure,8 October 2018,20:46
63,CCAFS,SpaceX CRS-16,"2,500 kg",LEO,USAF,Success,,No attempt,15 November 2018,18:34:05
64,CCAFS,GPS III,"4,400 kg",MEO,Iridium Communications,"Success
",,Success,3 December 2018,18:16
65,VAFB,Iridium NEXT,"9,600 kg",Polar,PSN,"Success
",,Success,5 December 2018,13:51
66,CCAFS,Nusantara Satu,"4,850 kg",GTO,NASA,"Success
",,Success,23 December 2018,15:31
67,KSC,Crew Dragon Demo-1,"12,055 kg",LEO,NASA,"Success
",,Success,11 January 2019,01:45
68,CCAFS,SpaceX CRS-17,"2,495 kg",LEO,SpaceX,"Success
",,Success,22 February 2019,07:49
69,CCAFS,Starlink,"13,620 kg",LEO,Canadian Space Agency,"Success
",,Success,2 March 2019,06:48
70,VAFB,RADARSAT Constellation,"4,200 kg",SSO,NASA,"Success
",,Success,4 May 2019,02:30
71,CCAFS,SpaceX CRS-18,"2,268 kg",LEO,Spacecom,"Success
",,No attempt,24 May 2019,14:17
72,CCAFS,AMOS-17,"6,500 kg",GTO,SpaceX,"Success
",,Success,12 June 2019,22:01
73,CCAFS,Starlink,"15,600 kg",LEO,NASA,"Success
",,Success,25 July 2019,23:23
74,CCAFS,SpaceX CRS-19,"2,617 kg",LEO,Sky Perfect JSAT,"Success
",,Success,6 August 2019,14:56
